City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
220,Mattru,SL,7.6244,-11.8332,76.98,90,85,0.94,light rain
221,Bata,GQ,1.8639,9.7658,77.0,100,40,4.72,scattered clouds
222,Necochea,AR,-38.5473,-58.7368,57.99,75,0,3.0,clear sky
223,Omalur,IN,11.741,78.0456,78.53,81,23,2.57,few clouds
224,Zapolyarnyy,RU,69.4154,30.8136,21.2,86,40,8.05,scattered clouds
225,Leningradskiy,RU,69.3833,178.4167,18.27,92,100,23.94,light snow
226,Rawson,AR,-43.3002,-65.1023,65.64,33,100,2.91,overcast clouds
227,Jaisinghnagar,IN,23.7,81.3833,79.29,17,2,6.24,clear sky
228,Fortuna,US,40.5982,-124.1573,62.01,94,1,14.97,clear sky
229,Cestas,FR,44.7435,-0.6791,51.8,82,0,4.61,clear sky
230,Ho Chi Minh City,VN,10.75,106.6667,80.6,94,20,5.75,few clouds
231,Vitim,RU,59.4511,112.5578,31.33,83,64,2.13,broken clouds
232,Brae,GB,60.3964,-1.353,37.4,87,20,5.75,few clouds
233,Casa Grande,US,32.8795,-111.7573,97.0,10,1,5.75,clear sky
234,La Ronge,CA,55.1001,-105.2842,62.6,31,67,9.22,broken clouds
235,Saint-Cyr-Sur-Loire,FR,47.4,0.6667,45.0,100,75,2.3,broken clouds
236,Skegness,GB,53.1436,0.3363,44.01,93,0,5.75,clear sky
237,Ilhabela,BR,-23.7781,-45.3581,69.24,76,77,7.36,broken clouds
238,Severo-Kurilsk,RU,50.6789,156.125,35.28,94,100,22.75,overcast clouds
239,Chuy,UY,-33.6971,-53.4616,58.95,84,54,7.02,broken clouds
240,Tasiilaq,GL,65.6145,-37.6368,28.4,86,38,2.73,scattered clouds
241,San Carlos De Bariloche,AR,-41.1456,-71.3082,50.0,81,90,19.57,overcast clouds
242,Qurbus,TN,36.8167,10.5687,82.4,20,20,10.36,few clouds
243,Ostrovnoy,RU,68.0531,39.5131,15.19,85,55,6.26,broken clouds
244,Pacific Grove,US,36.6177,-121.9166,59.0,67,75,9.22,broken clouds
245,Wichita Falls,US,33.9137,-98.4934,75.2,50,75,8.05,broken clouds
246,Ambanja,MG,-13.6833,48.45,74.08,92,9,3.29,clear sky
247,Half Moon Bay,US,37.4636,-122.4286,66.99,87,75,11.5,mist
248,Longyearbyen,SJ,78.2186,15.6401,12.2,67,75,16.11,snow
249,Guerrero Negro,MX,27.9769,-114.0611,83.73,26,0,15.21,clear sky
250,Port Elizabeth,ZA,-33.918,25.5701,59.0,63,0,11.5,clear sky
251,Shache,CN,38.4167,77.2406,66.96,15,0,4.32,clear sky
252,Codrington,AU,-38.2667,141.9667,63.63,46,100,12.44,overcast clouds
253,Vanderhoof,CA,54.0166,-124.0198,58.32,37,100,10.6,overcast clouds
254,Kaeo,NZ,-35.1,173.7833,69.01,70,23,5.01,few clouds
255,Mehamn,NO,71.0357,27.8492,33.19,65,100,23.55,light snow
256,Lompoc,US,34.6391,-120.4579,66.0,67,40,11.5,scattered clouds
257,Batemans Bay,AU,-35.7167,150.1833,64.0,57,5,2.62,clear sky
258,Svetlyy,RU,54.675,20.1347,39.0,87,0,8.95,clear sky
259,Daru,PG,-9.0763,143.2092,80.62,80,92,10.51,overcast clouds
260,Paciran,ID,-6.8767,112.3761,78.13,85,95,5.93,overcast clouds
261,Yenagoa,NG,4.9247,6.2642,77.79,90,96,4.54,overcast clouds
262,Hofn,IS,64.2539,-15.2082,36.09,75,100,10.58,light rain
263,Lubao,PH,14.9167,120.55,78.8,83,75,4.61,broken clouds
264,Glenwood Springs,US,39.5505,-107.3248,84.2,22,3,3.44,clear sky
265,College,US,64.8569,-147.8028,37.4,48,90,12.66,light snow
266,Isangel,VU,-19.55,169.2667,82.4,69,75,6.91,broken clouds
267,San Quintin,MX,30.4833,-115.95,74.08,47,0,15.05,clear sky
268,Vanimo,PG,-2.6741,141.3028,81.21,82,100,2.93,overcast clouds
269,Sarkand,KZ,45.41,79.9186,58.26,77,100,11.41,overcast clouds
270,Constitucion,CL,-35.3333,-72.4167,57.54,86,100,11.27,moderate rain
271,Los Llanos De Aridane,ES,28.6585,-17.9182,66.2,59,90,10.36,overcast clouds
272,Sucua,EC,-2.4667,-78.1667,64.4,100,75,2.3,light rain
273,Cockburn Town,TC,21.4612,-71.1419,78.8,69,40,8.05,scattered clouds
274,Gamba,GA,-2.65,10.0,78.1,90,100,3.67,overcast clouds
275,Berlevag,NO,70.8578,29.0864,33.91,75,96,25.48,snow
276,Luderitz,NA,-26.6481,15.1594,63.75,40,0,17.25,clear sky
277,Saldanha,ZA,-33.0117,17.9442,53.6,71,0,8.05,clear sky
