City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
665,Tautira,PF,86.0,broken clouds,-17.7333,-149.15,Pension Oaoa
667,Natal,BR,78.8,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
668,Canton,CN,78.01,overcast clouds,23.1167,113.25,Guangzhou Hotel
669,Saint-Pierre,RE,75.2,clear sky,-21.3393,55.4781,Lindsey Hôtel
671,Doha,QA,80.6,clear sky,25.2867,51.5333,Movenpick Hotel Doha
673,Mumford,GH,82.85,overcast clouds,5.2618,-0.759,Spanish Villa
676,Sheridan,US,81.0,clear sky,44.8333,-106.9173,Comfort Inn & Suites
677,Rangoon,MM,78.8,scattered clouds,16.8053,96.1561,Clover Hotel
682,Pirgos,GR,77.0,few clouds,35.1167,25.7178,Daios Cove
683,Bosaso,SO,83.93,broken clouds,11.2842,49.1816,Red Sea Hotel
687,Touros,BR,75.2,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
688,La Romana,DO,78.8,scattered clouds,18.4273,-68.9728,Casa de Campo Resort and Villas
690,Meulaboh,ID,76.33,broken clouds,4.1363,96.1285,Kost Pria
692,Singaraja,ID,78.75,broken clouds,-8.112,115.0882,Puri Bagus Lovina Resort
696,Batticaloa,LK,79.23,broken clouds,7.7102,81.6924,Grand Star Guest House
699,Hirara,JP,75.2,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
701,Lumberton,US,78.8,clear sky,34.6182,-79.0086,"Country Inn & Suites by Radisson, Lumberton, NC"
702,Agadez,NE,84.92,clear sky,19.75,10.25,
704,Tabuk,PH,77.13,scattered clouds,17.4189,121.4443,Golden Berries Hotel and Convention
707,Trinidad,BO,78.8,clear sky,-14.8333,-64.9,Hotel Piesta
