City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Lata,40.1629,-8.3327,55.99,84,63,5.01,PT,2021-04-20 20:20:32
249,Matagami,49.7502,-77.6328,19.4,79,90,13.8,CA,2021-04-20 20:20:32
250,Diego De Almagro,-26.3667,-70.05,72.97,28,87,10.51,CL,2021-04-20 20:20:33
251,Ulaangom,49.9811,92.0667,27.91,89,100,14.85,MN,2021-04-20 20:20:33
252,Umm Lajj,25.0213,37.2685,85.44,39,100,6.22,SA,2021-04-20 20:20:33
253,Caconda,-13.7333,15.0667,65.91,48,81,3.06,AO,2021-04-20 20:20:34
254,Port-De-Bouc,43.4,4.9833,55.4,76,0,3.44,FR,2021-04-20 20:20:34
255,Cidreira,-30.1811,-50.2056,71.51,70,8,13.78,BR,2021-04-20 20:20:34
256,Upernavik,72.7868,-56.1549,14.58,77,98,1.83,GL,2021-04-20 20:20:35
257,Talnakh,69.4865,88.3972,-11.25,87,60,2.42,RU,2021-04-20 20:20:35
258,Floro,61.5996,5.0328,41.0,87,75,11.5,NO,2021-04-20 20:20:35
259,Waipawa,-41.4122,175.5153,57.2,100,100,4.61,NZ,2021-04-20 20:20:36
260,Hobyo,5.3505,48.5268,83.91,70,85,13.15,SO,2021-04-20 20:20:36
261,Rehoboth,-23.3167,17.0833,66.36,30,7,6.62,NA,2021-04-20 20:16:15
262,Minab,27.1467,57.0801,78.8,83,7,6.91,IR,2021-04-20 20:20:36
263,Los Llanos De Aridane,28.6585,-17.9182,68.0,73,20,14.97,ES,2021-04-20 20:20:37
264,Atbasar,51.8,68.3333,29.97,48,0,4.29,KZ,2021-04-20 20:20:37
265,Sakaiminato,35.55,133.2333,46.4,100,20,2.3,JP,2021-04-20 20:20:37
266,Fortuna,40.5982,-124.1573,54.0,93,90,11.5,US,2021-04-20 20:20:38
267,Beyneu,45.3167,55.2,50.49,40,39,24.14,KZ,2021-04-20 20:20:38
268,Vidim,56.4088,103.1106,10.63,96,88,3.06,RU,2021-04-20 20:20:38
269,Raudeberg,61.9875,5.1352,39.0,92,100,18.32,NO,2021-04-20 20:18:27
270,Gat,31.61,34.7642,68.0,100,0,6.4,IL,2021-04-20 20:20:39
271,Matamoros,25.5333,-103.25,80.6,19,1,5.7,MX,2021-04-20 20:20:39
272,Vilhena,-12.7406,-60.1458,78.8,78,75,6.91,BR,2021-04-20 20:20:39
273,Ibaiti,-23.8486,-50.1878,71.46,52,49,4.16,BR,2021-04-20 20:20:40
274,Noumea,-22.2763,166.4572,75.0,94,40,2.3,NC,2021-04-20 20:20:40
275,Grand Gaube,-20.0064,57.6608,77.0,84,96,3.0,MU,2021-04-20 20:20:40
276,Damghan,36.1683,54.348,71.22,28,91,3.94,IR,2021-04-20 20:20:41
277,Kathu,7.9178,98.3332,84.99,94,20,2.3,TH,2021-04-20 20:20:41
278,Tiksi,71.6872,128.8694,9.86,95,100,11.45,RU,2021-04-20 20:20:41
279,Bhatkal,13.9667,74.5667,81.32,79,46,3.29,IN,2021-04-20 20:20:42
280,Kinsale,51.7075,-8.5306,48.99,93,75,3.44,IE,2021-04-20 20:20:42
281,Willowmore,-33.2926,23.4895,60.89,72,79,7.61,ZA,2021-04-20 20:20:42
282,Sioux Lookout,50.1001,-91.917,28.4,46,90,6.91,CA,2021-04-20 20:19:25
283,Ternate,0.8,127.4,80.1,79,100,0.85,ID,2021-04-20 20:20:43
284,Goderich,43.7501,-81.7165,35.6,64,100,6.91,CA,2021-04-20 20:20:43
